variant,accuracy,precision,recall,f1_score,roc_auc
Baseline XGB,0.7977941176470589,0.8244274809160306,0.7714285714285715,0.7970479704797049,0.8658549783549783
MI-XGB,0.7720588235294118,0.7910447761194029,0.7571428571428571,0.7737226277372262,0.8580627705627705
MI-XGB,0.7720588235294118,0.7910447761194029,0.7571428571428571,0.7737226277372262,0.8580627705627705
WFA-XGB,0.4852941176470588,0.0,0.0,0.0,0.5
