,wfa_weight
age,0.08884009429397069
sex,0.08921947958212352
cp,0.6126835665126263
trestbps,0.12793694584905727
chol,0.07386010598042697
fbs,0.0
restecg,0.2644878471831307
thalach,0.1329634936146103
exang,0.15792028101765648
oldpeak,0.2621570209226724
slope,0.9999999618432289
