,wfa_weight
age,0.009338669952690124
sex,0.0730554665355468
cp,0.4103709346359203
trestbps,0.08455587070344946
chol,0.0002827054896436857
fbs,0.0
restecg,0.08975027666583885
thalach,0.026491726579482816
exang,0.23860782904838748
oldpeak,0.1403394273375032
slope,0.9999999626695806
